hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,10.94,40.8,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,8143.11,0.0,0.0,7.44,28.69
1,11.12,42.09,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,8147.63,0.0,7.47,0.0,31.21
2,11.12,42.89,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,8152.15,0.0,7.43,0.0,27.7
3,11.04,43.18,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-6.32,-0.0,-7.66,0.0,0.0,8156.67,0.0,0.0,7.44,27.99
4,10.77,42.95,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,6.01,0.0,8161.19,0.0,7.44,0.0,28.16
5,10.52,43.16,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,14.84,0.0,8165.71,7.44,0.0,0.0,28.02
6,10.37,43.29,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,23.68,0.0,8170.23,0.0,0.0,7.45,29.0
7,10.22,43.4,0.49,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,32.51,0.0,8174.75,0.0,0.0,7.43,27.78
8,10.19,42.93,7.38,1.19,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,41.35,0.0,8179.27,0.0,0.0,7.47,31.14
9,10.06,41.0,19.11,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,50.18,0.0,8183.79,7.54,0.0,0.0,37.23
10,9.94,40.13,29.47,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,59.02,0.0,8188.31,0.0,0.0,7.57,40.06
11,9.99,41.15,33.73,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-11.71,-7.66,67.85,0.0,8192.83,0.0,0.0,7.61,43.68
12,10.1,41.35,32.55,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,76.69,10.54,8197.35,0.0,0.0,7.64,46.73
13,10.22,41.21,25.23,1.36,0.0,0.0,0.0,0.0,0.0,-9.3,-16.54,-7.66,85.52,28.61,8201.87,7.62,0.0,0.0,44.52
14,10.35,40.76,14.91,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-13.25,-7.66,94.36,43.49,8206.39,7.54,0.0,0.0,37.07
15,10.48,41.62,4.27,1.27,0.0,0.0,0.0,0.0,0.0,-9.3,-7.22,-7.66,103.19,55.41,8210.91,7.5,0.0,0.0,33.46
