hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,0.0,61.4,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9731.11,0.0,8.19,0.0,28.69
1,0.0,63.35,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9735.63,0.0,8.22,0.0,31.21
2,0.0,64.56,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9740.15,0.0,0.0,8.18,27.7
3,0.0,64.99,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9744.67,0.0,0.0,8.18,27.99
4,0.0,64.65,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9749.19,0.0,0.0,8.19,28.16
5,0.0,64.95,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9753.71,0.0,0.0,8.18,28.02
6,0.0,65.15,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9758.23,0.0,0.0,8.19,29.0
7,0.0,65.32,0.49,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9762.75,0.0,0.0,8.18,27.78
8,0.0,64.62,7.38,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9767.27,0.0,0.0,8.22,31.14
9,0.0,61.7,19.11,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9771.79,0.0,0.0,8.28,37.23
10,0.0,60.4,29.47,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9776.31,0.0,0.0,8.32,40.06
11,0.0,61.94,33.73,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9780.83,0.0,0.0,8.36,43.68
12,0.0,62.23,32.55,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9785.35,0.0,0.0,8.39,46.73
13,0.0,62.02,25.23,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,9789.86,0.0,0.0,8.36,44.52
14,0.0,61.35,14.91,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,0.0,0.0,9794.38,0.0,0.0,8.28,37.07
15,0.0,62.64,4.27,1.27,0.0,0.0,0.0,0.0,0.0,-8.2,-0.0,-7.66,8.84,0.0,9798.9,0.0,8.24,0.0,33.46
16,0.0,63.65,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,16.63,0.0,9803.42,0.0,0.0,8.22,31.38
17,0.0,63.71,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-15.84,-7.66,25.46,0.0,9807.94,0.0,8.23,0.0,32.25
18,0.0,62.74,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-9.3,-13.19,-7.66,34.3,14.26,9812.46,0.0,0.0,8.25,34.03
19,0.0,61.31,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-9.3,-9.16,-7.66,43.13,26.13,9816.98,0.0,0.0,8.28,37.01
20,0.0,58.94,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-9.3,-3.33,-7.66,51.97,34.37,9821.5,8.32,0.0,0.0,40.36
21,0.0,56.89,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-3.48,-7.66,60.8,37.37,9826.02,0.0,0.0,8.29,37.94
22,0.0,55.25,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-9.3,-4.13,-7.66,69.64,40.51,9830.54,0.0,0.0,8.27,35.63
23,0.0,52.89,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-9.3,-6.02,-7.66,78.47,44.23,9835.06,8.22,0.0,0.0,31.3
24,0.0,50.78,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-2.98,-7.66,87.31,49.64,9839.58,8.23,0.0,0.0,32.15
25,0.0,49.46,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-8.47,-0.0,-7.66,96.14,52.33,9844.1,0.0,8.25,0.0,34.47
26,0.0,48.23,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,-9.76,-7.66,104.19,52.33,9848.62,0.0,8.23,0.0,31.91
27,0.0,47.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-8.94,-0.0,-7.66,104.19,61.11,9853.14,0.0,0.0,8.22,31.55
28,0.0,46.77,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-8.98,-0.0,-7.66,112.68,61.11,9857.66,0.0,8.22,0.0,31.29
29,0.0,45.62,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.08,-0.0,-7.66,121.21,61.11,9862.18,0.0,0.0,8.21,30.09
30,0.0,43.02,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-5.17,-0.0,-7.66,129.84,61.11,9866.69,0.0,0.0,8.22,31.4
31,0.0,39.86,1.26,1.18,0.0,0.0,0.52,0.0,0.0,-0.0,-0.0,-7.66,134.75,61.11,9871.21,0.0,8.26,0.0,35.17
32,0.0,34.84,12.5,1.23,0.0,0.0,0.0,0.0,0.0,-5.09,-0.0,-7.66,134.17,61.11,9875.73,0.0,0.0,8.27,35.83
33,0.0,28.98,26.35,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-0.27,-7.66,139.01,61.11,9880.25,0.0,0.0,8.31,39.43
34,0.0,26.87,41.06,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-0.98,-7.66,147.84,61.35,9884.77,0.0,0.0,8.44,51.43
35,0.0,27.37,50.02,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-5.99,-7.66,156.68,62.24,9889.29,8.49,0.0,0.0,55.94
36,0.0,27.59,51.63,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-4.26,-7.66,165.51,67.63,9893.81,8.53,0.0,0.0,59.58
37,0.0,27.9,44.89,1.62,0.0,0.0,0.0,0.0,0.0,-5.95,-2.97,-7.66,174.35,71.47,9898.33,0.0,8.51,0.0,57.83
38,0.0,27.48,32.11,1.46,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.78,180.0,74.14,9902.85,8.47,0.0,0.0,54.27
